nombre,categoria,direccion_completa,barrio,comuna
ROMARIO,RESTAURANTE,FITZ ROY 2104,Palermo,Comuna 14
ROMARIO,,JUNCAL 2864,Recoleta,Comuna 2
ROMARIO,RESTAURANTE,ARENALES 2019,Recoleta,Comuna 2
ROMARIO,RESTAURANTE,CABELLO 3700,Palermo,Comuna 14
RONDINELLA,RESTAURANTE,ALVAREZ THOMAS AV. 12,Chacarita,Comuna 15
RONDIZ DE PALERMO,RESTAURANTE,BONPLAND 1694,Palermo,Comuna 14
ROND POINT,RESTAURANTE,"FIGUEROA ALCORTA, PRES. AV. 3009",Palermo,Comuna 14
ROOF,RESTAURANTE,COSTA RICA 4001,Palermo,Comuna 14
ROSSO,RESTAURANTE,"URIBURU JOSE E., Pres. 1305",Recoleta,Comuna 2
ROTCO,,MENDOZA AV. 5207,Villa Urquiza,Comuna 12
ROX,RESTAURANTE,CABILDO AV. 4148,Saavedra,Comuna 12
ROXY'S,RESTAURANTE,MAIPU 470,San Nicolas,Comuna 1
RUBIA RUBIA MORENA,RESTAURANTE,RIVADAVIA AV. 7374,Flores,Comuna 7
RUCULA RESTO DECO BAR,RESTAURANTE,TALCAHUANO 1281,Retiro,Comuna 1
RUISEÃÆÃ¢â¬ËOR,BAR,LAS HERAS GENERAL AV. 3499,Palermo,Comuna 14
RULO'S,RESTAURANTE,ECHEVERRIA 1290,Belgrano,Comuna 13
RUM PUAM,BAR,GUATEMALA 5499,Palermo,Comuna 14
RUTA DEL ALBA,RESTAURANTE,BILLINGHURST 2099,Recoleta,Comuna 2
SABIS,CAFE,MORENO 723,Monserrat,Comuna 1
SABOR A TANGO,RESTAURANTE,"PERON, JUAN DOMINGO, TTE. GENERAL 2535",Balvanera,Comuna 3
SABORES,RESTAURANTE,TALCAHUANO 850,Retiro,Comuna 1
SABORES,RESTAURANTE,"ALSINA, ADOLFO 1193",Monserrat,Comuna 1
SABORES CASEROS,RESTAURANTE,MAIPU 187,San Nicolas,Comuna 1
SABORES COSAS RICAS,RESTAURANTE,MORENO 1207,Monserrat,Comuna 1
SABOT,RESTAURANTE,25 DE MAYO 756,San Nicolas,Comuna 1
SABROSON,CAFE,ALVAREZ THOMAS AV. 1384,Villa Ortuzar,Comuna 15
SABROSON,CAFE,ALVAREZ THOMAS AV. 1384,Villa Ortuzar,Comuna 15
SACHA,RESTAURANTE,NICARAGUA 5901,Palermo,Comuna 14
SAFARI,RESTAURANTE,DEL LIBERTADOR AV. 182,Retiro,Comuna 1
SAGRADO,RESTAURANTE,EL SALVADOR 4714,Palermo,Comuna 14
SAHARA,RESTAURANTE,JUNIN 1735,Recoleta,Comuna 2
SAINT MARGARET,RESTAURANTE,LAS HERAS GENERAL AV. 2801,Palermo,Comuna 14
SAINT'S BAR,CAFE,LAVALLE 4082,Almagro,Comuna 5
SALI DE LA CORNIZA,PUB,DIRECTORIO AV. 843,Caballito,Comuna 6
SALON DORADO S.A,RESTAURANTE,"LEGUIZAMON, MARTINIANO 1723",Mataderos,Comuna 9
SALSA CRIOLLA,RESTAURANTE,"RAMIREZ DE VELASCO, JUAN 900",Villa Crespo,Comuna 15
SALSA CRIOLLA II,CONFITERIA,ESTADO PLURINACIONAL DE BOLIVIA 100,Flores,Comuna 7
SALVAME MARIA,RESTAURANTE,JURAMENTO AV. 1905,Belgrano,Comuna 13
SAMMY,,"BEIRO, FRANCISCO AV. 5750",Villa Real,Comuna 10
SAN ANTONIO,RESTAURANTE,CASEROS AV. 2401,Parque Patricios,Comuna 4
SAN ANTONIO,RESTAURANTE,"LACROZE, FEDERICO AV. 3217",Colegiales,Comuna 13
SAN BABILA,RESTAURANTE,"ORTIZ, ROBERTO M., Pres. 1815",Recoleta,Comuna 2
SAN CAMILO,PUB,"GALLARDO, ANGEL AV. 894",Caballito,Comuna 6
SAN CARLOS,RESTAURANTE,RIVADAVIA AV. 4548,Caballito,Comuna 6
SAN CARLOS,CAFE,RIVADAVIA AV. 4548,Caballito,Comuna 6
SAN CAYETANO,RESTAURANTE,JURAMENTO AV. 2465,Belgrano,Comuna 13
SAN CAYETANO,RESTAURANTE,ARENALES 3102,Recoleta,Comuna 2
SAN CAYETANO BAR,RESTAURANTE,SARMIENTO 1906,Balvanera,Comuna 3
SAN CRISTOBAL,RESTAURANTE,ENTRE RIOS AV. 1189,San Cristobal,Comuna 3
SANDWICHERIA SAXO,RESTAURANTE,VIAMONTE 681,San Nicolas,Comuna 1
SAN FRANCISCO,RESTAURANTE,"PERON, EVA AV. 3655",Parque Avellaneda,Comuna 9
SAN GENNARO,RESTAURANTE,DIRECTORIO AV. 1900,Parque Chacabuco,Comuna 7
SAN JOSE,RESTAURANTE,CONSTITUCION 1402,Constitucion,Comuna 1
SAN JOSE,RESTAURANTE,SUIPACHA 245,San Nicolas,Comuna 1
SAN JOSE,RESTAURANTE,CASEROS AV. 3902,Nueva Pompeya,Comuna 4
SAN JOSE,RESTAURANTE,RIVADAVIA AV. 6882,Flores,Comuna 7
SAN LORENZO,RESTAURANTE,LA PLATA AV. 1697,Parque Chacabuco,Comuna 7
SAN MARTIN,BAR,PARAGUAY 2301,Recoleta,Comuna 2
SAN MATEA,RESTAURANTE,MAIPU 701,San Nicolas,Comuna 1
SAN MIGUEL,RESTAURANTE,"MONTES DE OCA, MANUEL 1002",Barracas,Comuna 4
SAN MIGUEL,RESTAURANTE,"GARAY, JUAN DE AV. 3196",Parque Patricios,Comuna 4
SAN MIGUEL,RESTAURANTE,"CORRIENTES AV. y JUSTO, JUAN B. AV.",Villa Crespo,Comuna 15
SAN NICOLAS,BAR,PARANA 816,Recoleta,Comuna 2
SAN PEDRO,RESTAURANTE,ALVAREZ JONTE AV. 5001,Monte Castro,Comuna 10
SAN PEDRO,CAFE,LIMA 135,Monserrat,Comuna 1
SANTA CATALINA,RESTAURANTE,SAN MARTIN 534,San Nicolas,Comuna 1
SANTA CLARA,RESTAURANTE,CARRASCO AV. 23,Velez Sarsfield,Comuna 10
SANTA CRUZ,RESTAURANTE,RIVADAVIA AV. 1285,San Nicolas,Comuna 1
SANTA MARINA,RESTAURANTE,TALCAHUANO 224,San Nicolas,Comuna 1
SAN TELMO NAIF,BAR,DEFENSA 1201,San Telmo,Comuna 1
SAN TELMO PLAZA,RESTAURANTE,PERU 1017,San Telmo,Comuna 1
SANTINO,RESTAURANTE,BAEZ 196,Palermo,Comuna 14
SAN VILLANUEVA,RESTAURANTE,25 DE MAYO 238,San Nicolas,Comuna 1
SAPORI,RESTAURANTE,SAN MARTIN 774,San Nicolas,Comuna 1
SAPORO SUSHI,RESTAURANTE,COSTA RICA 4875,Palermo,Comuna 14
SAQQUARA,RESTAURANTE,HONDURAS 5717,Palermo,Comuna 14
SARKIS,RESTAURANTE,THAMES 1101,Villa Crespo,Comuna 15
SATAY,RESTAURANTE,ARMENIA 2475,Palermo,Comuna 14
SAVOY,RESTAURANTE,"PERON, JUAN DOMINGO, TTE. GENERAL 1702",San Nicolas,Comuna 1
SCETTA,RESTAURANTE,FRENCH 2301,Recoleta,Comuna 2
SCOBIO,RESTAURANTE,CORDOBA AV. 802,San Nicolas,Comuna 1
SCUZI,RESTAURANTE,CABELLO 3601,Palermo,Comuna 14
SCUZZI,RESTAURANTE,CORDOBA AV. 784,San Nicolas,Comuna 1
SCUZZI,RESTAURANTE,CALLAO AV. 398,Balvanera,Comuna 3
SEGAFREDO ESPRESSO,RESTAURANTE,FLORIDA 102,San Nicolas,Comuna 1
SEGISMUNDO CAFE & BAR,RESTAURANTE,RIOBAMBA 292,Balvanera,Comuna 3
SEMETRIO,RESTAURANTE,HONDURAS 5714,Palermo,Comuna 14
SENDAS,RESTAURANTE,BILLINGHURST 1690,Recoleta,Comuna 2
SEÃÆÃ¢â¬ËOR TANGO,RESTAURANTE,VIEYTES 1655,Barracas,Comuna 4
SENSU,RESTAURANTE,FLORIDA 787,San Nicolas,Comuna 1
SETTO VOCE,RESTAURANTE,DEL LIBERTADOR AV. 1098,Recoleta,Comuna 2
SEU CAFE,RESTAURANTE,"MITRE, BARTOLOME 801",San Nicolas,Comuna 1
SEVEN,RESTAURANTE,GORRITI 5802,Palermo,Comuna 14
S. F UN LUGAR,RESTAURANTE,"CABRERA, JOSE A. 4849",Palermo,Comuna 14
SHAKE,PUB,"ALBERDI, JUAN BAUTISTA AV. 7063",Mataderos,Comuna 9
SHI YUAN,RESTAURANTE,TAGLE 2531,Recoleta,Comuna 2
SIGA LA VACA,RESTAURANTE,"OBLIGADO RAFAEL, Av.Costanera 3640",Palermo,Comuna 14
SIGA LA VACA,RESTAURANTE,"MOREAU DE JUSTO, ALICIA AV. 1714",Puerto Madero,Comuna 1
SIGI,RESTAURANTE,"SALGUERO, JERONIMO 1905",Palermo,Comuna 14
SIGLO XXI,CAFE,"JUSTO, JUAN B. AV. 4120",Caballito,Comuna 6
SIMPSON,CAFE,URUGUAY 1026,Recoleta,Comuna 2
SINCLAIR,RESTAURANTE,SINCLAIR 3096,Palermo,Comuna 14
SIN PUDOR,RESTAURANTE,CIUDAD DE LA PAZ 1128,Colegiales,Comuna 13
SIRELIS,CAFE,GUATEMALA 5800,Palermo,Comuna 14
SIR. HALEWYN,RESTAURANTE,PASTEUR 782,Balvanera,Comuna 3
SISSI,RESTAURANTE,MALVINAS ARGENTINAS 974,Parque Chacabuco,Comuna 7
SOBRE TODOS,RESTAURANTE,"YRIGOYEN, HIPOLITO 1852",Balvanera,Comuna 3
SOCIAL PARAISO,CAFE,HONDURAS 5182,Palermo,Comuna 14
SOCIETA DI CAFFE,CAFE,BERUTI 2600,Recoleta,Comuna 2
SO. CO. GRILL & BAR,RESTAURANTE,TUCUMAN 133,San Nicolas,Comuna 1
SOCRATES,CONFITERIA,"GOYENA, PEDRO AV. 1402",Caballito,Comuna 6
SOFIA,RESTAURANTE,RIVERA INDARTE AV. 20,Flores,Comuna 7
SOKERESA,RESTAURANTE,SOLIS 242,Monserrat,Comuna 1
SOLERA,RESTAURANTE,SARMIENTO 720,San Nicolas,Comuna 1
SONOMAN,RESTAURANTE,FITZ ROY 1655,Palermo,Comuna 14
SOPRANO,BAR,"PERON, JUAN DOMINGO, TTE. GENERAL 1700",San Nicolas,Comuna 1
SORAYA PLATA,RESTAURANTE,CABILDO AV. 658,Colegiales,Comuna 13
SORRENTO,BAR,CORRIENTES AV. 668,San Nicolas,Comuna 1
Sorrento Recova,RESTAURANTE,POSADAS 1053,Retiro,Comuna 1
SOSTIENE PEREIRA,RESTAURANTE,FRAY JUSTO SANTAMARIA DE ORO 2899,Palermo,Comuna 14
SOSTIENE PEREYRA,RESTAURANTE,RECONQUISTA 757,San Nicolas,Comuna 1
SOUL CAFE,RESTAURANTE,BAEZ 246,Palermo,Comuna 14
SPEED WEB,CAFE,"MONTES DE OCA, MANUEL 1186",Barracas,Comuna 4
SPELL CAFE,RESTAURANTE,"MOREAU DE JUSTO, ALICIA AV. 740",Puerto Madero,Comuna 1
SPETTUS,,"MOREAU DE JUSTO, ALICIA AV. 876",Puerto Madero,Comuna 1
SPIAGGE DI NAPOLI,CONFITERIA,INDEPENDENCIA AV. 3527,Almagro,Comuna 5
SPIGA,RESTAURANTE,ENTRE RIOS AV. 602,Monserrat,Comuna 1
SPIRIT,RESTAURANTE,SERRANO 1550,Palermo,Comuna 14
SPLENDID,RESTAURANTE,GORRITI 5099,Palermo,Comuna 14
SPOCK RESTO & BAR,BAR,"PERON, JUAN DOMINGO, TTE. GENERAL 2202",Balvanera,Comuna 3
SR. WILL,RESTAURANTE,SAN MARTIN 678,San Nicolas,Comuna 1
STA FE 1234,RESTAURANTE,SANTA FE AV. 1234,Retiro,Comuna 1
STAFF,CONFITERIA,RIVADAVIA AV. 7178,Flores,Comuna 7
STAFFORD,CAFE,IBERA 1914,NuÃÆÃÂ±ez,Comuna 13
STAR,RESTAURANTE,ESTADO DE ISRAEL AV. 4302,Almagro,Comuna 5
STAR CAFE,CAFE,PUEYRREDON AV. 1430,Recoleta,Comuna 2
START CAFE,RESTAURANTE,RIVADAVIA AV. 1699,San Nicolas,Comuna 1
STEFANO,RESTAURANTE,GASCON 1791,Palermo,Comuna 14
ST. GEORGE,CAFE,VIAMONTE 662,San Nicolas,Comuna 1
ST. GEORGE & THE DRAGON,RESTAURANTE,RIOBAMBA 1020,Recoleta,Comuna 2
ST. MICHAEL,CAFE,"MITRE, BARTOLOME 901",San Nicolas,Comuna 1
STONE BAR- PHILOSOPHY,RESTAURANTE,GORRITI 5578,Palermo,Comuna 14
STOPPY,RESTAURANTE,MOLDES 2288,Belgrano,Comuna 13
STYLO CAFE,BAR,FERNANDEZ DE ENCISO 3934,Villa Devoto,Comuna 11
SUA,RESTAURANTE,MEXICO 1670,Monserrat,Comuna 1
SUBITO,RESTAURANTE,POSADAS 1245,Retiro,Comuna 1
SUBITO PARRILLA,CAFE,POSADAS 1245,Retiro,Comuna 1
SUDESTADA,RESTAURANTE,GUATEMALA 5602,Palermo,Comuna 14
SUEVE,RESTAURANTE,"PELLEGRINI, CARLOS 491",San Nicolas,Comuna 1
SUGARY COFEE,CAFE,"YRIGOYEN, HIPOLITO 2000",Balvanera,Comuna 3
SUIPACHA 772,RESTAURANTE,SUIPACHA 772,San Nicolas,Comuna 1
SUITU,RESTAURANTE,TUCUMAN 902,San Nicolas,Comuna 1
SUKHOTHA,RESTAURANTE,MONTEVIDEO 1671,Retiro,Comuna 1
SULIVAN'S,RESTAURANTE,"BORGES, JORGE LUIS 1702",Palermo,Comuna 14
SUMALARO,CAFE,CORRIENTES AV. 2261,Balvanera,Comuna 3
SUPER NOVA,RESTAURANTE,"BARROS PAZOS, JOSE 6602",Villa Riachuelo,Comuna 8
SUPER PIZZA,RESTAURANTE,GODOY CRUZ 2851,Palermo,Comuna 14
SUPERRED,PUB,LA PLATA AV. 351,Caballito,Comuna 6
SushiClub Barrio Norte,DELIVERY & TAKE AWAY,LAS HERAS GENERAL AV. 2956,Recoleta,Comuna 2
SushiClub Belgrano,DELIVERY & TAKE AWAY,MIGUELETES 984,Palermo,Comuna 14
SushiClub Caballito,RESTAURANTE,"GOYENA, PEDRO AV. 878",Caballito,Comuna 6
Sushiclub Devoto,RESTAURANTE,CHIVILCOY AV. 3818,Villa Devoto,Comuna 11
SushiClub Las CaÃÆÃÂ±itas,RESTAURANTE,BAEZ 268,Palermo,Comuna 14
SushiClub Madero Este,RESTAURANTE,"EYLE, PETRONA 471",Puerto Madero,Comuna 1
SushiClub Palermo Hollywood,RESTAURANTE,GORRITI 5641,Palermo,Comuna 14
SushiClub Puerto Madero,RESTAURANTE,"MOREAU DE JUSTO, ALICIA AV. 286",Puerto Madero,Comuna 1
SushiClub Recova de Posadas,RESTAURANTE,9 DE JULIO AV. y POSADAS,Retiro,Comuna 1
SushiClub Sinclair,RESTAURANTE,SINCLAIR 3102,Palermo,Comuna 14
SWEET CAFE,CAFE,CORDOBA AV. 1735,Recoleta,Comuna 2
SWEETLY PAN Y CAFE,CAFE,BERUTI 2802,Recoleta,Comuna 2
SWING,BAR,LAVALLE 558,San Nicolas,Comuna 1
TABARE,BAR,TALCAHUANO 857,Retiro,Comuna 1
TABARE,RESTAURANTE,CHARCAS 3387,Palermo,Comuna 14
TABERNA BASKA,RESTAURANTE,CHILE 980,Monserrat,Comuna 1
TA! CHIVITO,RESTAURANTE,"SCALABRINI ORTIZ, RAUL 3193",Palermo,Comuna 14
TACO'S,PUB,"MORENO, JOSE MARIA AV. 714",Caballito,Comuna 6
TADEO,RESTAURANTE,DIRECTORIO AV. 1500,Parque Chacabuco,Comuna 7
TAGLE,RESTAURANTE,TAGLE 2621,Recoleta,Comuna 2
TAIPEI,BAR,SAN MARTIN AV. 6133,Agronomia,Comuna 15
TAI PEI,RESTAURANTE,CABILDO AV. 4716,Saavedra,Comuna 12
TAJO,CAFE,CORDOBA AV. 2602,Balvanera,Comuna 3
TAKI'S,BAR,SAN MARTIN 565,San Nicolas,Comuna 1
TALA BUENA,CONFITERIA,CUENCA 141,Flores,Comuna 7
TALCAHUANO 999,BAR,TALCAHUANO 999,Retiro,Comuna 1
TALNASSONS,RESTAURANTE,"MORENO, JOSE MARIA AV. 735",Caballito,Comuna 6
TAMARACO,RESTAURANTE,SANTA FE AV. 2301,Recoleta,Comuna 2
TAMIRIS,RESTAURANTE,BELGRANO AV. 1401,Monserrat,Comuna 1
TANCAT,RESTAURANTE,PARAGUAY 645,Retiro,Comuna 1
TAO-TAO,RESTAURANTE,CABILDO AV. 1418,Colegiales,Comuna 13
TAO-TAO,RESTAURANTE,CABILDO AV. 1418,Colegiales,Comuna 13
TATANA,RESTAURANTE,GORRITI 5516,Palermo,Comuna 14
TATI,RESTAURANTE,RECONQUISTA 627,San Nicolas,Comuna 1
TAXCO CAFE,PUB,"ALBERDI, JUAN BAUTISTA AV. 6099",Mataderos,Comuna 9
TEATRIZ,RESTAURANTE,RIOBAMBA 1220,Recoleta,Comuna 2
TELE LUNCH,RESTAURANTE,MAIPU 619,San Nicolas,Comuna 1
TELMO BAR,RESTAURANTE,"CALVO, CARLOS 492",San Telmo,Comuna 1
TE MATARE RAMIREZ,RESTAURANTE,PARAGUAY 4062,Palermo,Comuna 14
TEMPLAR,RESTAURANTE,25 DE MAYO 314,San Nicolas,Comuna 1
TENEDOR LIBRE,,INDEPENDENCIA AV. 1822,San Cristobal,Comuna 3
TENORIO,RESTAURANTE,JUNIN 1789,Recoleta,Comuna 2
TEOCALI,RESTAURANTE,"JUSTO, JUAN B. AV. 9390",Liniers,Comuna 9
TERMINAL DE OMNIBUS RETIRO CONFITER,RESTAURANTE,"RAMOS MEJIA, JOSE MARIA, DR. AV. 1690",Retiro,Comuna 1
TERRAZA VISTA RETIRO,RESTAURANTE,"RAMOS MEJIA, JOSE MARIA, DR. AV. 1690",Retiro,Comuna 1
TERRITORIO,RESTAURANTE,ESTADOS UNIDOS 500,San Telmo,Comuna 1
TERTULIANO,RESTAURANTE,HUMBOLDT 1549,Palermo,Comuna 14
TESEO RESTAURANTE,RESTAURANTE,PARANA 645,San Nicolas,Comuna 1
T.G.I FRIDAY'S,RESTAURANTE,"MOREAU DE JUSTO, ALICIA AV. 1010",Puerto Madero,Comuna 1
T.G.I. FRIDAY'S,RESTAURANTE,"DIAZ, CNEL. AV. 1900",Palermo,Comuna 14
THEBLOW,CAFE,ESMERALDA 428,San Nicolas,Comuna 1
THE COFEE STORE,,"NEWBERY, JORGE 1651",Palermo,Comuna 14
THE COFFEE STORE,RESTAURANTE,LAVALLE 576,San Nicolas,Comuna 1
THE COFFEE STORE,RESTAURANTE,VIAMONTE 1393,San Nicolas,Comuna 1
THE COFFEE STORE,RESTAURANTE,PUEYRREDON AV. 2180,Recoleta,Comuna 2
THE COFFEE STORE,CONFITERIA,SANTA FE AV. 2353,Recoleta,Comuna 2
THE COFFE STORE,RESTAURANTE,"MOREAU DE JUSTO, ALICIA AV. 1788",Puerto Madero,Comuna 1
THE COUSINS,,"PUEYRREDON, HONORIO, DR. AV. 1295",Villa Crespo,Comuna 15
THE FAMILY,RESTAURANTE,CASEROS AV. 2100,Parque Patricios,Comuna 4
THE FOX,CAFE,PERDRIEL 27,Barracas,Comuna 4
THE GRANTS,RESTAURANTE,RIVADAVIA AV. 6226,Flores,Comuna 7
THE LIBRARY LOUNGE,RESTAURANTE,SALOTTI MARTHA 445,Puerto Madero,Comuna 1
THOMPSON,RESTAURANTE,DIRECTORIO AV. 801,Caballito,Comuna 6
THYMUS,CONFITERIA,LERMA 525,Villa Crespo,Comuna 15
TIA MARGARITA,RESTAURANTE,"GOYENA, PEDRO AV. 500",Caballito,Comuna 6
TIA MARIA,RESTAURANTE,DEL LIBERTADOR AV. 6301,Belgrano,Comuna 13
TICARO,RESTAURANTE,LAVALLE 102,San Nicolas,Comuna 1
TID' TUNA,RESTAURANTE,ARGERICH 404,Flores,Comuna 7
TIEMPO CAFE,RESTAURANTE,"PERON, JUAN DOMINGO, TTE. GENERAL 1755",San Nicolas,Comuna 1
TIEMPO CERO,RESTAURANTE,CORRIENTES AV. 4486,Almagro,Comuna 5
TIEMPO DE GITANOS,RESTAURANTE,EL SALVADOR 5575,Palermo,Comuna 14
TIEMPO LIBRE,RESTAURANTE,"PERON, JUAN DOMINGO, TTE. GENERAL 1502",San Nicolas,Comuna 1
TIEMPO LIBRE,RESTAURANTE,URUGUAY 96,San Nicolas,Comuna 1
TIEMPO LIBRE,RESTAURANTE,ESMERALDA 761,San Nicolas,Comuna 1
TIEMPO LIBRE,RESTAURANTE,SARMIENTO 1305,San Nicolas,Comuna 1
TIERRA COFFEE,RESTAURANTE,HONDURAS 5700,Palermo,Comuna 14
TIERRA DE PARRILLEROS,RESTAURANTE,"COSSETTINI, OLGA 901",Puerto Madero,Comuna 1
TILEI,RESTAURANTE,FLORIDA 171,San Nicolas,Comuna 1
TILL,BAR,"ALVEAR, MARCELO T. De 2321",Recoleta,Comuna 2
TIMOTHI O' TODE,RESTAURANTE,TUCUMAN 400,San Nicolas,Comuna 1
TÃÆÃÂ­o Felipe,RESTAURANTE,BALCARCE 739,San Telmo,Comuna 1
TIO FRITZ,RESTAURANTE,"ARTIGAS, JOSE GERVASIO, GRAL. 294",Flores,Comuna 7
TIO PAPA'S,RESTAURANTE,RIVADAVIA AV. 7401,Flores,Comuna 7
TISSIANO,BAR,PARAGUAY 3400,Recoleta,Comuna 2
TIZIA,RESTAURANTE,RIVADAVIA AV. 6880,Flores,Comuna 7
TOBAS,RESTAURANTE,CORDOBA AV. 2601,Recoleta,Comuna 2
TOCORORO,RESTAURANTE,"MOREAU DE JUSTO, ALICIA AV. 1050",Puerto Madero,Comuna 1
TODO,RESTAURANTE,NOGOYA 3266,Villa Del Parque,Comuna 11
TODO CASERO,BAR,TUCUMAN 864,San Nicolas,Comuna 1
TODO MUNDO,BAR,DON ANSELMO AIETA 1095,San Telmo,Comuna 1
TODOS CONTENTOS,RESTAURANTE,ARRIBEÃÆÃ¢â¬ËOS 2177,Belgrano,Comuna 13
TOIN & POOL,PUB,RIVADAVIA AV. 10875,Liniers,Comuna 9
TOJO,PUB,"FALCON, RAMON L.,CNEL. 7124",Liniers,Comuna 9
TOKYO PLAZA,BAR,URUGUAY AV. 715,San Nicolas,Comuna 1
TOLOME,RESTAURANTE,"MITRE, BARTOLOME 2579",Balvanera,Comuna 3
TOLON,RESTAURANTE,SANTA FE AV. 3200,Recoleta,Comuna 2
TOMATO,RESTAURANTE,INDEPENDENCIA AV. 4399,Almagro,Comuna 5
TOÃÆÃ¢â¬ËITO,RESTAURANTE,GASCON 307,Almagro,Comuna 5
TONNO,RESTAURANTE,ARCE 401,Palermo,Comuna 14
TONO ROJO,VINERIA,"SCHIAFFINO, EDUARDO 2183",Recoleta,Comuna 2
TON & SON,RESTAURANTE,HONDURAS 5500,Palermo,Comuna 14
TONY DEVOTO,RESTAURANTE,CHIVILCOY AV. 3856,Villa Devoto,Comuna 11
TOO,RESTAURANTE,URUGUAY 1129,Retiro,Comuna 1
TOPACIO,RESTAURANTE,RIVADAVIA AV. 2099,Balvanera,Comuna 3
TORCUATO,VINERIA,"ALVEAR, MARCELO T. De 2499",Recoleta,Comuna 2
TORENTO,RESTAURANTE,RIVADAVIA AV. 4471,Almagro,Comuna 5
TORONTO,RESTAURANTE,ALVAREZ THOMAS AV. 602,Chacarita,Comuna 15
TORONTO,,RIVADAVIA AV. 4471,Almagro,Comuna 5
TORRE DE PIZZA,RESTAURANTE,RIVADAVIA AV. 10856,Liniers,Comuna 9
TORRE PONS,RESTAURANTE,"ALVEAR, MARCELO T. De 1201",Retiro,Comuna 1
TOTEM & TABU,CAFE,"YRIGOYEN, HIPOLITO 3247",Balvanera,Comuna 3
TRAMWURAY CAFE,,DIRECTORIO AV. 1101,Caballito,Comuna 6
TREN MIXTO,RESTAURANTE,LIMA 1713,Constitucion,Comuna 1
TRES AVENIDAS,CAFE,DIRECTORIO AV. 4302,Parque Avellaneda,Comuna 9
TRES BRUJAS,RESTAURANTE,"LACROZE, FEDERICO AV. 3415",Colegiales,Comuna 13
TRES SABORES,RESTAURANTE,RIVADAVIA AV. 1411,San Nicolas,Comuna 1
TRIANA,,LA PLATA AV. 802,Boedo,Comuna 5
TRIBON,RESTAURANTE,MONTEVIDEO 723,San Nicolas,Comuna 1
TRIBUNA,RESTAURANTE,MONTEVIDEO 483,San Nicolas,Comuna 1
TRIBUNALES,CONFITERIA,LAVALLE 1202,San Nicolas,Comuna 1
TRIBUNALES PLAZA,CONFITERIA,TUCUMAN 1301,San Nicolas,Comuna 1
TRIDENTE,RESTAURANTE,CORDOBA AV. 3099,Recoleta,Comuna 2
TROPICAL,RESTAURANTE,SAENZ AV. 1100,Nueva Pompeya,Comuna 4
TRUMAN,RESTAURANTE,SERRANO 1148,Villa Crespo,Comuna 15
TUC SON,CAFE,ARCOS 3636,NuÃÆÃÂ±ez,Comuna 13
TUCSON STEAK HOUSE & BAR,RESTAURANTE,"SALGUERO, JERONIMO 2741",Palermo,Comuna 14
TUÃÆÃ¢â¬ËIN,RESTAURANTE,RIVADAVIA AV. 3402,Almagro,Comuna 5
TURULECA,RESTAURANTE,"GOYENA, PEDRO AV. 500",Caballito,Comuna 6
TV,RESTAURANTE,MONROE 3602,Belgrano,Comuna 13
TZOLKIN,RESTAURANTE,"BORGES, JORGE LUIS 2088",Palermo,Comuna 14
UCRANIA,BAR,BELGRANO AV. 102,Monserrat,Comuna 1
UGI'S,RESTAURANTE,"PELLEGRINI, CARLOS 329",San Nicolas,Comuna 1
UGI'S,RESTAURANTE,VARELA AV. 1202,Flores,Comuna 7
ULPIANO,BAR,LAVALLE 1284,San Nicolas,Comuna 1
UMMO,RESTAURANTE,GORRITI 4918,Palermo,Comuna 14
UN CAFE,BAR,SARMIENTO 951,San Nicolas,Comuna 1
UNDICI,BAR,MEXICO 1399,Monserrat,Comuna 1
UNDICI,,"MONTES DE OCA, MANUEL 510",Barracas,Comuna 4
UNIVERSO,BAR,"CALVO, CARLOS 796",San Telmo,Comuna 1
URQUIZA 508,CAFE,"URQUIZA, Gral. 508",Balvanera,Comuna 3
USHUAIA,CAFE,CORDOBA AV. 350,San Nicolas,Comuna 1
USIA,CAFE,TUCUMAN 1375,San Nicolas,Comuna 1
UTOPIA,RESTAURANTE,SERRANO 1590,Palermo,Comuna 14
UTOPIA,RESTAURANTE,SEGUROLA AV. 196,Velez Sarsfield,Comuna 10
VALDERRAMA,RESTAURANTE,AREVALO 2725,Palermo,Comuna 14
VALDES,RESTAURANTE,GUATEMALA 5905,Palermo,Comuna 14
"VALENTI, ESPECIALIDADES",VINERIA,VUELTA DE OBLIGADO 1820,Belgrano,Comuna 13
VALENTINA,RESTAURANTE,MONTEVIDEO 582,San Nicolas,Comuna 1
VALENTINO,BAR,"IRIGOYEN, BERNARDO de 82",Monserrat,Comuna 1
VALERIO,RESTAURANTE,LAVALLE 799,San Nicolas,Comuna 1
VALLE DE PALOS,BAR,"VALLE, ARISTOBULO DEL 600",Boca,Comuna 4
VAN KONING,RESTAURANTE,BAEZ 325,Palermo,Comuna 14
VAPOR DE LA CARRERA,RESTAURANTE,DON PEDRO DE MENDOZA AV. 1851,Boca,Comuna 4
VARELA VARELI,RESTAURANTE,"SCALABRINI ORTIZ, RAUL AV. 2102",Palermo,Comuna 14
VASCO FERMIN,BAR,MORENO 1356,Monserrat,Comuna 1
VELUET,RESTAURANTE,"SALGUERO, JERONIMO 1807",Palermo,Comuna 14
VENUS,RESTAURANTE,NAZCA 4654,Villa Pueyrredon,Comuna 12
VERA CRUZ,RESTAURANTE,GODOY CRUZ 1819,Palermo,Comuna 14
VERDI,RESTAURANTE,ESMERALDA 758,San Nicolas,Comuna 1
