nombre,categoria,direccion_completa,barrio,comuna
PETRA'S,RESTAURANTE,DOBLAS 220,Caballito,Comuna 6
PETRO,RESTAURANTE,CORDOBA AV. 1702,San Nicolas,Comuna 1
PETTY BAR,BAR,LAVALLE 901,San Nicolas,Comuna 1
PIACERE,SANDWICHERIA,CABILDO AV. 1562,Colegiales,Comuna 13
PIACERE,RESTAURANTE,CALLAO AV. 1074,Recoleta,Comuna 2
PIACERE,CONFITERIA,CABILDO AV. 1101,Palermo,Comuna 14
PIACERE,RESTAURANTE,ARCOS 1994,Belgrano,Comuna 13
PIACERE,CONFITERIA,LAS HERAS GENERAL AV. 2899,Palermo,Comuna 14
PICAS,RESTAURANTE,BONPLAND 1920,Palermo,Comuna 14
PICCOLO VAPORE,RESTAURANTE,NECOCHEA 1190,Boca,Comuna 4
PICHI HUASI,RESTAURANTE,FRENCH 2281,Recoleta,Comuna 2
PICUYO,RESTAURANTE,"PERON, EVA AV. 3381",Flores,Comuna 7
PIEGARI PARRILLA,RESTAURANTE,POSADAS 1089,Retiro,Comuna 1
PIEGARI RISTORANTE,RESTAURANTE,POSADAS 1042,Retiro,Comuna 1
PIERINO,RESTAURANTE,"FALCON, RAMON L.,CNEL. 2701",Flores,Comuna 7
PIERROT,RESTAURANTE,AZCUENAGA 483,Balvanera,Comuna 3
PININ,,"CALVO, CARLOS 3629",Boedo,Comuna 5
PINO'S,RESTAURANTE,RIVADAVIA AV. 3511,Almagro,Comuna 5
PINUT,RESTAURANTE,"MANSILLA, LUCIO NORBERTO, GENERAL 3892",Palermo,Comuna 14
PIOCERY,CAFE,PARAGUAY 1398,Retiro,Comuna 1
PIOLA,RESTAURANTE,LIBERTAD 1078,Retiro,Comuna 1
PIPAS,CAFE,CALLAO AV. 1569,Recoleta,Comuna 2
PIPPER,,CABILDO AV. 1138,Colegiales,Comuna 13
PIPPO 3,BAR,PARANA 356,San Nicolas,Comuna 1
PIRIAPOLIS CAFE,CAFE,CORDOBA AV. 3051,Recoleta,Comuna 2
PITOPA,RESTAURANTE,MONROE AV. 3415,Coghlan,Comuna 12
PITOPA,RESTAURANTE,MONROE AV. 3400,Belgrano,Comuna 13
PIU ARTESANAL,CAFE,SANTA FE AV. 2646,Recoleta,Comuna 2
PIZARRO'S,RESTAURANTE,ECHEVERRIA 1401,Belgrano,Comuna 13
PIZZA 3,RESTAURANTE,CHACABUCO 1314,San Telmo,Comuna 1
PIZZA AL CORTE,RESTAURANTE,HONDURAS 5504,Palermo,Comuna 14
PIZZA BOY,BAR,"ALSINA, ADOLFO 2800",Balvanera,Comuna 3
PIZZA- CAFE,RESTAURANTE,"PAZ, GRAL. AV. 10868",Liniers,Comuna 9
PIZZA CAFE LA ESQUINA,RESTAURANTE,FINOCHIETTO ENRIQUE DR. 1701,Barracas,Comuna 4
"PIZZA, CAFE Y CULTURA",RESTAURANTE,"PERON, JUAN DOMINGO, TTE. GENERAL 1382",San Nicolas,Comuna 1
PIZZA CHOP,RESTAURANTE,COBO AV. 1030,Nueva Pompeya,Comuna 4
PIZZA CRACK,,VARELA AV. 1082,Flores,Comuna 7
PIZZA & ESPUMA,CAFE,JUNCAL 2701,Recoleta,Comuna 2
PIZZA JET,RESTAURANTE,FLORIDA 165,San Nicolas,Comuna 1
PIZZA KROSS,RESTAURANTE,TRIUNVIRATO AV. 5402,Villa Urquiza,Comuna 12
PIZZA LINIERS CAFE,RESTAURANTE,RIVADAVIA AV. 11576,Liniers,Comuna 9
PIZZA MASS,RESTAURANTE,SARMIENTO 1601,San Nicolas,Comuna 1
PIZZA NARANJA,RESTAURANTE,"IRIGOYEN, BERNARDO de 920",Constitucion,Comuna 1
PIZZA PACK,RESTAURANTE,LAVALLE 836,San Nicolas,Comuna 1
PIZZA PET,RESTAURANTE,SANTA FE AV. 5288,Palermo,Comuna 14
PIZZA- PIZZA,RESTAURANTE,RIVADAVIA AV. 5033,Caballito,Comuna 6
PIZZA PLAZA,RESTAURANTE,LAS HERAS GENERAL AV. 3293,Palermo,Comuna 14
PIZZA QUE?,RESTAURANTE,CHARCAS 4037,Palermo,Comuna 14
PIZZA TRACY,RESTAURANTE,"SALGUERO, JERONIMO 3172",Palermo,Comuna 14
PIZZA TRACY,RESTAURANTE,POSADAS 1245,Retiro,Comuna 1
PIZZA VIVA,RESTAURANTE,OLAZABAL AV. 5213,Villa Urquiza,Comuna 12
PIZZA Y BIRRA,RESTAURANTE,RIVADAVIA AV. 7402,Flores,Comuna 7
PIZZA Y CAFE EL QUIJOTE,RESTAURANTE,"GOYENA, PEDRO AV. 736",Caballito,Comuna 6
PIZZA Y CAFE UNO,RESTAURANTE,RIVADAVIA AV. 6784,Flores,Comuna 7
PIZZERIA BETO,RESTAURANTE,NOGOYA 3900,Villa Del Parque,Comuna 11
PIZZERIA BURGIO,RESTAURANTE,CABILDO AV. 2477,Belgrano,Comuna 13
PIZZERIA CANCHA,RESTAURANTE,BRASIL 2699,Parque Patricios,Comuna 4
PIZZERIA CONGRESO,RESTAURANTE,RIVADAVIA AV. 1715,San Nicolas,Comuna 1
PIZZERIA D' ANY,CONFITERIA,ALVAREZ JONTE AV. 4001,Monte Castro,Comuna 10
PIZZERIA EL LITORAL,,"PERON, EVA AV. 2507",Flores,Comuna 7
PIZZERIA EL SOL,CAFE,"MANSILLA, LUCIO NORBERTO, GENERAL 2899",Recoleta,Comuna 2
PIZZERIA EUROPEA,BAR,LARREA 24,Balvanera,Comuna 3
PIZZERIA LA NUEVA,RESTAURANTE,BRANDSEN 600,Boca,Comuna 4
PIZZERIA LOS COCOS,CAFE,CORDOBA AV. 3303,Recoleta,Comuna 2
PIZZERIA MI TIO,RESTAURANTE,ESTADOS UNIDOS 400,San Telmo,Comuna 1
PIZZERIA NAPOLES,RESTAURANTE,CORRIENTES AV. 5594,Villa Crespo,Comuna 15
PIZZERIA SOFIA,RESTAURANTE,RIVADAVIA AV. 4101,Almagro,Comuna 5
PIZZERIA VISION,,CARABOBO AV. 1107,Flores,Comuna 7
PIZZERIA Y BAR PABLITO,RESTAURANTE,LARREA 691,Balvanera,Comuna 3
PIZZUELA EXPRESS,RESTAURANTE,11 DE SEPTIEMBRE DE 1888 3000,NuÃÆÃÂ±ez,Comuna 13
PLACES,RESTAURANTE,VIAMONTE 879,San Nicolas,Comuna 1
Plan B Pizza,BAR,BAUNESS 2802,Villa Urquiza,Comuna 12
Plan B Resto Bar,BAR,"RIVERA, PEDRO I., Dr. 5202",Villa Urquiza,Comuna 12
PLATON,RESTAURANTE,PUAN 483,Caballito,Comuna 6
PLAZA,RESTAURANTE,SALTA 1456,Constitucion,Comuna 1
PLAZA,CAFE,RIVADAVIA AV. 4732,Caballito,Comuna 6
PLAZA CORRIENTES,RESTAURANTE,CORRIENTES AV. 4656,Almagro,Comuna 5
PLAZA DE LAS CARRETAS,RESTAURANTE,BOUCHARD 452,San Nicolas,Comuna 1
PLAZA DEL CARMEN,CAFE,RIVADAVIA AV. 4502,Caballito,Comuna 6
PLAZA DEL CÃâÃÂ RMEN,RESTAURANTE,SANTA FE AV. 3402,Palermo,Comuna 14
PLAZA DONNA,RESTAURANTE,SANTA FE AV. 3202,Palermo,Comuna 14
PLAZA DORREGO,RESTAURANTE,DEFENSA 1093,San Telmo,Comuna 1
PLAZA DORREGO BAR,BAR,DEFENSA 1098,San Telmo,Comuna 1
PLAZA ITALIA,RESTAURANTE,DEL LIBERTADOR AV. 176,Retiro,Comuna 1
PLAZA MAYOR,RESTAURANTE,REPUBLICA BOLIVARIANA DE VENEZUELA 1399,Monserrat,Comuna 1
PLAZA ROMA,RESTAURANTE,TUCUMAN 149,San Nicolas,Comuna 1
PLAZA ROMA,RESTAURANTE,BOUCHARD 484,San Nicolas,Comuna 1
PLAZA TRIANA,RESTAURANTE,RIVADAVIA AV. 5103,Caballito,Comuna 6
PLENO SOL ASADOR CRIOLLO,RESTAURANTE,"GARCIA LORCA, FEDERICO 399",Caballito,Comuna 6
PLUSULTRA,RESTAURANTE,LAVALLE 1497,San Nicolas,Comuna 1
PLUS ULTRA,RESTAURANTE,LAVALLE 401,San Nicolas,Comuna 1
PLUS ULTRA,RESTAURANTE,DEL LIBERTADOR AV. 1201,Recoleta,Comuna 2
PODEST,RESTAURANTE,ARMENIA 1740,Palermo,Comuna 14
PODESTA,RESTAURANTE,RIVADAVIA AV. 2802,Balvanera,Comuna 3
POKER,RESTAURANTE,"PELLEGRINI, CARLOS 111",San Nicolas,Comuna 1
POLITEAMA,RESTAURANTE,CORRIENTES AV. 1496,San Nicolas,Comuna 1
POMPEII,RESTAURANTE,CABILDO AV. 1985,Belgrano,Comuna 13
POMPEII,RESTAURANTE,LAS HERAS GENERAL AV. 2601,Recoleta,Comuna 2
POOL ENTRETENIMIENTO,RESTAURANTE,DIRECTORIO AV. 1240,Parque Chacabuco,Comuna 7
POR ELLOS,RESTAURANTE,"MITRE, BARTOLOME 1189",San Nicolas,Comuna 1
POR H O POR B,RESTAURANTE,AZCUENAGA 1781,Recoleta,Comuna 2
PORTALS,BAR,BULNES 1400,Palermo,Comuna 14
PORTEÃÆÃ¢â¬ËITO,CAFE,CORDOBA AV. 1652,San Nicolas,Comuna 1
PORTO FINO,CAFE,"PERON, JUAN DOMINGO, TTE. GENERAL 302",San Nicolas,Comuna 1
PORTO PIRATA,RESTAURANTE,"ALVEAR, MARCELO T. De 401",Retiro,Comuna 1
PORTO PIZZA,BAR,"SALGUERO, JERONIMO 2671",Palermo,Comuna 14
PORTO PIZZA,,CABILDO AV. 1532,Colegiales,Comuna 13
PORTO VELBO,CAFE,"MITRE, BARTOLOME 301",San Nicolas,Comuna 1
POR USTEDES,,GIBSON 4104,Boedo,Comuna 5
POSADAS BAR,CAFE,POSADAS 1402,Recoleta,Comuna 2
POSEIDON,BAR,BETHLEM 419,San Telmo,Comuna 1
POSITANO,RESTAURANTE,OLLEROS AV. 1760,Palermo,Comuna 14
POSTA GAUCHA,RESTAURANTE,ENTRE RIOS AV. 1444,Constitucion,Comuna 1
POSTA IV,RESTAURANTE,SALTA 424,Monserrat,Comuna 1
POSTA RECOLETA,CAFE,JUNIN 1770,Recoleta,Comuna 2
POSTO PIZZA,RESTAURANTE,CABILDO AV. 1532,Colegiales,Comuna 13
POZO BAR,RESTAURANTE,RONDEAU 1878,Parque Patricios,Comuna 4
P & P X 5,RESTAURANTE,DE LOS INCAS AV. 4200,Villa Ortuzar,Comuna 15
PRAGA,CAFE,LAS HERAS GENERAL AV. 2912,Recoleta,Comuna 2
PRETO RESTO BAR,RESTAURANTE,JARAMILLO 1701,NuÃÆÃÂ±ez,Comuna 13
PRETTY,RESTAURANTE,BELGRANO AV. 1402,Monserrat,Comuna 1
PRETTY NORT,CAFE,CHARCAS 2599,Recoleta,Comuna 2
PRIMAFILA,,PUEYRREDON AV. 2501,Recoleta,Comuna 2
PRIMER CORTE,RESTAURANTE,REPUBLICA BOLIVARIANA DE VENEZUELA 1290,Monserrat,Comuna 1
PRIMER EURO,CAFE,RIOBAMBA 1019,Recoleta,Comuna 2
PRIMI PIATTI,RESTAURANTE,FRENCH 3015,Recoleta,Comuna 2
PRIMO HUMBERTO,RESTAURANTE,HUMBERTO 1Âº 475,San Telmo,Comuna 1
PRONTO,RESTAURANTE,JUNIN 375,Balvanera,Comuna 3
PRONTO CAFE- BAR,CAFE,ARENALES 2799,Recoleta,Comuna 2
PRONTO PIZZA,RESTAURANTE,FLORIDA 233,San Nicolas,Comuna 1
PRONTO PIZZA,RESTAURANTE,FLORIDA 577,San Nicolas,Comuna 1
PROPIZIO,CAFE,PUEYRREDON AV. 1306,Recoleta,Comuna 2
PROPUESTA,CONFITERIA,VIAMONTE 826,San Nicolas,Comuna 1
PROSCIUTO,RESTAURANTE,JUNIN 283,Balvanera,Comuna 3
PROVENCE,CAFE,LARREA 909,Recoleta,Comuna 2
PSICOSIS,BAR,"YRIGOYEN, HIPOLITO 3199",Balvanera,Comuna 3
PTO. DEL CARMEN,CONFITERIA,CORDOBA AV. 628,San Nicolas,Comuna 1
PUBLICO,RESTAURANTE,GORRITI 5054,Palermo,Comuna 14
PUCARA,RESTAURANTE,"ALBERDI, JUAN BAUTISTA AV. 493",Caballito,Comuna 6
PUENTE DE PIEDRA,RESTAURANTE,"ALBERDI, JUAN BAUTISTA AV. 344",Caballito,Comuna 6
PUERTA DEL SOL,RESTAURANTE,ROSARIO 900,Caballito,Comuna 6
PUERTO CRISTAL,RESTAURANTE,"MOREAU DE JUSTO, ALICIA AV. 1082",Puerto Madero,Comuna 1
PUERTO DESEADO,RESTAURANTE,SEGUROLA AV. 472,Velez Sarsfield,Comuna 10
PUERTO LEYENDA,RESTAURANTE,RIVADAVIA AV. 1123,San Nicolas,Comuna 1
PUERTO LUNA,RESTAURANTE,"CALVO, CARLOS 99",San Telmo,Comuna 1
PUERTO VIEJO,RESTAURANTE,DON PEDRO DE MENDOZA AV. 2103,Boca,Comuna 4
PULPERIA AL 900,RESTAURANTE,CRAMER AV. 2125,Belgrano,Comuna 13
PULPERIA LA ARGENTINA,BAR,"ARAOZ DE LAMADRID, GREGORIO, GRAL. 801",Boca,Comuna 4
PulperÃÆÃÂ­a QuilapÃÆÃÂ¡n,RESTAURANTE,DEFENSA 1344,San Telmo,Comuna 1
PUNTA CANA,RESTAURANTE,"CASTRO, EMILIO AV. 5998",Mataderos,Comuna 9
PUNTA CUORE,RESTAURANTE,BELGRANO AV. 1700,Monserrat,Comuna 1
PUNTA CUORE,RESTAURANTE,CORRIENTES AV. 4199,Almagro,Comuna 5
PUNTA NAON,BAR,"CASTRO, EMILIO AV. 7328",Mataderos,Comuna 9
PUNTA SERENA,RESTAURANTE,MONTEVIDEO 783,San Nicolas,Comuna 1
PUNTA Y TACO,RESTAURANTE,RIVADAVIA AV. 7519,Flores,Comuna 7
PUNTO CERO,BAR,"URIBURU JOSE E., Pres. 388",Balvanera,Comuna 3
PUNTO OBLIGADO,RESTAURANTE,VUELTA DE OBLIGADO 3799,NuÃÆÃÂ±ez,Comuna 13
PUNTO SUR,CAFE,CHARCAS 3615,Palermo,Comuna 14
PYKO'S BAR,CAFE,DEL LIBERTADOR AV. 8602,NuÃÆÃÂ±ez,Comuna 13
PYZZADELICA,CAFE,BAEZ 207,Palermo,Comuna 14
Q' RICO,RESTAURANTE,COBO AV. 1899,Parque Chacabuco,Comuna 7
QUEBEC,RESTAURANTE,CALLAO AV. 1202,Recoleta,Comuna 2
QUEBEC,CAFE,PUEYRREDON AV. 1637,Recoleta,Comuna 2
QUEBEQ,RESTAURANTE,PARAGUAY 4683,Palermo,Comuna 14
QUE LUGAR,CAFE,CORRALES 3157,Villa Soldati,Comuna 8
QUENTIN,RESTAURANTE,BAEZ 390,Palermo,Comuna 14
QUENTIN,RESTAURANTE,AREVALO 1502,Palermo,Comuna 14
QUE SE YO,CAFE,CALLAO AV. 249,San Nicolas,Comuna 1
